2439746,496,491,89
2439756,499,491,89
2439766,497,491,90
2439776,497,491,90
2439787,499,491,90
2439797,495,491,90
2439807,497,491,91
2439817,498,491,91
2439827,494,491,91
2439838,498,491,91
2439848,496,491,91
2439858,496,491,91
2439868,498,491,92
2439878,494,491,92
2439889,498,491,92
2439899,495,491,92
2439909,496,491,92
2439919,498,491,92
2439929,494,491,92
2439940,497,491,92
2439950,497,491,92
2439960,496,491,92
2439970,498,491,92
2439980,495,491,93
2439991,496,491,93
2440001,497,491,93
2440011,494,491,93
2440021,498,491,93
2440031,494,491,93
2440042,497,491,93
2440052,499,491,94
2440062,494,491,94
2440072,497,491,94
2440082,494,492,93
2440093,494,492,93
2440103,496,492,92
2440113,493,492,90
2440123,496,492,89
2440133,496,492,87
2440144,493,492,81
2440154,499,493,75
2440164,494,493,68
2440174,496,493,62
2440184,497,493,57
2440195,493,494,51
2440205,498,494,47
2440215,495,494,40
2440225,496,494,34
2440235,498,495,26
2440246,494,495,19
2440256,496,495,12
2440266,495,495,4
2440276,496,495,4
2440287,498,495,4
2440297,493,495,4
2440307,496,495,4
2440317,496,495,4
2440327,494,495,4
2440338,498,495,4
2440348,493,495,4
2440358,495,495,4
2440368,496,495,4
2440378,493,495,4
2440389,498,495,4
2440399,494,495,4
2440409,495,495,4
2440419,497,495,4
2440429,492,495,4
2440440,498,495,3
2440450,495,495,3
2440460,493,495,3
2440470,497,495,3
2440480,493,495,3
2440491,497,495,3
2440501,495,495,3
2440511,493,495,4
2440521,497,495,4
2440531,494,495,4
2440542,497,495,3
2440552,499,495,4
2440562,493,495,4
2440572,498,495,4
2440582,496,495,4
2440593,496,495,4
2440603,498,495,4
2440613,495,495,4
2440623,498,495,4
2440633,497,495,4
2440644,496,495,4
2440654,499,495,4
2440664,494,495,4
2440674,497,495,4
2440684,498,495,4
2440695,495,495,4
2440705,498,495,4
2440715,495,495,4
2440725,497,495,4
2440735,498,495,4
2440746,493,495,4
2440756,498,495,4
2440766,496,495,4
2440776,496,495,4
2440786,498,495,4
2440797,495,495,4
2440807,498,495,4
2440817,497,495,4
2440827,495,495,4
2440837,500,495,4
2440848,495,495,4
2440858,497,495,4
2440868,498,496,3
2440878,495,495,4
2440888,498,496,3
2440899,496,496,3
2440909,497,496,3
2440919,498,496,3
2440929,494,496,3
2440939,498,496,3
2440950,497,496,3
2440960,495,496,3
2443450,496,496,3
2443460,495,496,3
2443470,497,496,3
2443480,496,496,3
2443491,496,496,3
2443501,494,496,3
2443511,492,495,4
2443521,497,495,4
2443531,492,495,4
2443542,497,495,4
2443552,496,495,4
2443562,494,495,4
2443572,497,495,4
2443582,495,495,4
2443593,496,495,4
2443603,498,495,4
2443613,494,495,4
2443623,498,495,4
2443633,496,495,4
2443644,496,495,4
2443654,499,495,4
2443664,494,495,4
2443674,499,495,4
2443684,499,495,4
2443695,495,495,4
2443705,498,495,4
2443715,494,495,4
2443725,497,495,4
2443735,498,495,4
2443746,494,495,4
2443756,498,495,4
2443766,495,495,4
2443776,499,495,4
2443786,500,496,3
2443797,493,496,3
2443807,498,496,3
2443817,496,496,3
2443827,496,496,3
2443837,499,496,3
2443848,495,496,3
2443858,497,496,3
2443868,497,496,3
2443878,496,496,3
2443888,501,496,3
2443899,496,496,3
2443909,496,496,3
2443919,498,496,3
2443929,495,496,3
2443939,499,496,3
2443950,495,496,3
2443960,496,496,3
2443970,498,496,3
2443980,493,496,3
2443990,498,496,3
2444001,497,496,3
2444011,495,496,3
2444021,497,496,3
2444031,496,496,3
2444041,497,496,3
2444052,498,496,3
2444062,495,496,3
2444072,497,496,3
2444082,497,496,3
2444092,498,496,3
2444103,499,496,3
2444113,494,496,3
2444123,498,496,3
2444133,496,496,3
2444143,497,496,3
2444154,498,496,3
2444164,493,496,3
2444174,497,496,3
2444184,499,496,3
2444194,496,496,3
2444205,499,496,3
2444215,494,496,3
2444225,496,496,3
2444235,498,496,3
2444245,495,496,3
2444256,498,496,3
2444266,494,496,3
2444276,496,496,3
2444286,499,496,3
2444296,494,496,3
2444307,498,496,3
2444317,495,496,3
2444327,495,496,3
2444337,499,496,3
2444347,495,496,3
2444358,497,496,3
2444368,497,496,3
2444378,494,496,3
2444388,499,496,3
2444398,495,496,3
2444409,497,496,3
2444419,498,496,3
2444429,494,496,3
2444439,498,496,3
2444449,495,496,3
2444460,497,496,3
2444470,498,496,3
2444480,493,496,3
2444490,498,496,3
2444500,498,496,3
2444511,495,496,3
2444521,498,496,3
2444531,495,496,3
2444541,500,496,3
2444551,498,496,3
2444562,495,496,3
2444572,497,496,3
2444582,494,496,3
2444592,496,496,3
2444602,499,496,3
2444613,494,496,3
2444623,498,496,3
2444633,495,496,3
2444643,497,496,3
2444653,504,496,4
2444664,494,496,4
2447154,498,496,4
2447164,492,496,4
2447174,496,496,4
2447184,494,496,4
2447195,495,496,4
2447205,497,496,4
2447215,492,496,4
2447225,497,496,4
2447235,495,496,4
2447246,494,496,4
2447256,497,496,4
2447266,492,496,4
2447276,496,496,4
2447286,498,496,4
2447297,495,496,4
2447307,496,496,4
2447317,494,496,4
2447327,498,496,4
2447337,496,496,4
2447348,492,496,4
2447358,496,496,4
2447368,495,496,4
2447378,494,496,4
2447388,497,496,4
2447399,493,496,4
2447409,497,496,4
2447419,497,496,4
2447429,493,496,4
2447439,497,496,4
2447450,494,496,4
2447460,498,496,4
2447470,498,496,4
2447480,492,496,4
2447490,497,496,4
2447501,495,496,4
2447511,496,496,4
2447521,497,496,4
2447531,493,496,4
2447541,496,496,4
2447552,496,496,4
2447562,496,496,4
2447572,498,496,4
2447582,493,496,4
2447592,498,496,4
2447603,497,496,4
2447613,494,496,4
2447623,498,496,4
2447633,493,496,4
2447643,495,496,4
2447654,498,496,4
2447664,494,496,4
2447674,497,496,4
2447684,494,496,4
2447694,495,496,4
2447705,498,496,4
2447715,494,496,4
2447725,497,496,4
2447735,495,496,4
2447745,494,496,4
2447756,498,496,4
2447766,495,496,4
2447776,497,496,4
2447786,497,496,4
2447796,494,496,4
2447807,498,496,4
2447817,495,496,4
2447827,497,496,4
2447837,497,496,4
2447847,493,495,5
2447858,497,495,5
2447868,496,496,4
2447878,496,496,4
2447888,497,495,4
2447898,492,495,5
2447909,498,495,4
2447919,496,495,4
2447929,495,495,4
2447939,497,495,4
2447949,493,495,4
2447960,496,495,4
2447970,498,495,4
2447980,494,495,4
2447990,497,495,4
2448000,495,495,4
2448011,496,495,4
2448021,498,495,4
2448031,493,495,4
2448041,497,495,4
2448051,495,495,4
2448062,495,495,4
2448072,498,495,4
2448082,493,495,4
2448092,498,495,4
2448102,496,495,4
2448113,495,495,4
2448123,498,495,4
2448133,494,495,4
2448143,495,495,4
2448153,497,495,4
2448164,494,495,4
2448174,498,495,4
2448184,495,495,4
2448194,495,495,4
2448204,497,495,4
2448215,493,495,4
2448225,497,495,4
2448235,496,495,4
2448245,494,495,4
2448255,497,495,4
2448266,493,495,4
2448276,498,495,4
2448286,498,495,4
2448296,493,495,4
2448306,497,495,4
2448317,494,495,4
2448327,497,495,4
2448337,498,495,4
2448347,493,495,4
2448357,497,495,3
2448368,495,495,3
2450858,500,495,3
2450868,496,495,3
2450878,499,495,3
2450888,500,495,4
2450899,493,495,4
2450909,498,495,4
2450919,496,495,4
2450929,496,495,4
2450939,498,495,4
2450950,495,495,4
2450960,498,495,4
2450970,498,495,4
2450980,495,495,4
2450990,499,495,4
2451001,495,495,4
2451011,498,495,4
2451021,499,495,4
2451031,495,495,4
2451041,499,495,4
2451052,495,495,4
2451062,497,495,4
2451072,498,496,3
2451082,493,495,4
2451092,504,496,4
2451103,497,496,4
2451113,496,496,4
2451123,498,496,4
2451133,494,496,4
2451143,497,496,4
2451154,498,496,4
2451164,495,496,3
2451174,498,496,3
2451184,495,496,3
2451194,497,496,3
2451205,499,496,3
2451215,494,496,3
2451225,498,496,3
2451235,496,496,3
2451245,497,496,3
2451256,498,496,3
2451266,494,496,3
2451276,498,496,3
2451286,497,496,3
2451296,495,496,3
2451307,499,496,3
2451317,494,496,3
2451327,497,496,3
