Polling for available serial device...
Opening serial monitor for com port: "/dev/ttyACM0"
Serial monitor opened successfully:
532250,826,826,10
532260,827,826,10
532270,822,826,10
532280,828,826,10
RIM
532301,793,783,8
532311,785,783,8
532321,781,783,8
532331,785,783,8
532341,780,782,9
532351,781,782,9
532362,784,782,9
532372,781,782,9
532382,785,782,9
532392,782,782,9
532402,780,782,9
532413,787,782,9
532423,782,782,8
532433,782,782,8
532443,783,782,7
532453,781,782,7
532463,784,782,7
532474,782,782,7
532484,781,782,7
532494,784,782,7
532504,780,782,7
532514,784,782,7
532525,780,782,7
532535,781,782,7
532545,786,782,7
532555,780,782,7
532565,781,782,7
532575,783,782,7
532586,793,782,9
532596,785,782,9
532606,779,782,9
532616,784,782,9
532626,785,782,9
532636,779,782,9
532647,784,782,9
532657,779,782,9
532667,782,782,9
532677,785,782,9
532687,779,782,9
532698,784,782,9
532708,782,782,9
532718,782,782,9
532728,783,782,9
532738,778,782,9
532748,786,782,9
532759,784,782,9
532769,781,782,9
532779,782,782,9
532789,779,782,9
532799,785,782,8
532809,785,782,8
532820,779,782,9
532830,784,782,9
532840,781,782,9
532850,783,782,8
532860,782,782,8
532871,778,782,8
532881,785,782,8
532891,781,782,8
532901,779,782,9
OSM
532922,452,450,2
532932,451,450,2
532942,451,450,2
532952,449,450,2
532962,450,450,2
532973,448,449,3
532983,451,450,2
532993,452,450,2
533003,447,450,2
533013,450,450,2
533024,449,449,3
533034,451,450,2
533044,450,450,2
533054,448,449,3
533064,452,449,3
533074,451,449,3
533085,449,450,2
533095,449,449,3
533105,443,449,4
533115,451,449,4
533125,448,449,4
533135,449,449,4
533146,451,449,4
533156,448,449,3
533166,452,449,3
533176,450,449,3
533186,449,449,3
533197,451,449,3
533207,453,449,4
533217,450,449,4
533227,454,449,4
533237,448,449,4
533247,451,449,4
533258,450,449,4
533268,449,450,3
533278,450,450,3
533288,449,449,4
533298,452,450,3
533309,449,450,3
533319,450,450,3
533329,452,450,3
533339,450,450,3
533349,449,450,3
533359,451,450,3
533370,450,450,3
533380,455,450,3
533390,447,450,3
533400,455,450,4
533410,452,450,4
533420,448,450,4
533431,450,450,3
533441,450,450,3
533451,449,450,3
533461,451,450,3
533471,448,450,3
533482,449,450,3
533492,450,450,3
533502,450,450,3
533512,452,450,3
533522,447,450,3
SIM
533543,842,826,9
533553,826,826,9
533563,830,826,10
533573,823,826,10
533583,825,826,9
533593,828,826,9
533604,822,826,10
533614,828,826,10
533624,823,826,10
533634,824,826,9
533644,827,826,9
533655,824,826,9
533665,828,826,9
533675,824,826,9
533685,824,826,9
533695,828,826,9
533705,824,826,9
533716,827,826,9
533726,826,826,9
533736,824,826,9
533746,829,826,9
533756,823,826,9
533766,826,826,9
533777,827,825,9
533787,823,825,9
533797,829,826,9
533807,824,825,10
533817,825,826,8
533828,827,826,8
533838,824,826,8
533848,829,826,8
533858,823,825,9
533868,824,825,9
533878,829,826,9
533889,824,826,9
533899,828,826,9
533909,826,826,8
533919,824,826,8
533929,829,826,9
533940,825,826,8
533950,825,826,8
533960,826,826,8
533970,823,826,8
533980,829,826,8
533990,823,825,9
534001,824,826,8
534011,827,826,8
534021,824,825,9
534031,827,825,9
534041,825,825,9
534052,827,825,9
534062,827,826,8
534072,823,825,9
534082,827,825,9
534092,825,825,9
534102,824,825,9
534113,829,825,9
534123,824,825,9
534133,825,825,9
534143,827,825,9
RIM
534163,792,782,8
534174,780,782,8
534184,785,782,8
534194,785,782,8
534204,778,782,8
534214,784,782,9
534224,784,782,9
534235,783,782,9
534245,785,782,9
534255,779,782,9
534265,784,782,9
534275,785,782,8
534286,782,782,8
534296,784,782,8
534306,779,782,9
534316,785,782,9
534326,785,782,9
534336,779,782,9
534347,785,782,9
534357,781,782,9
534367,784,782,9
534377,784,782,9
534387,778,782,9
534398,785,782,9
534408,783,782,9
534418,781,782,9
534428,784,782,9
534438,781,782,9
534448,785,782,7
534459,780,782,7
534469,780,782,7
534479,787,782,7
534489,780,782,7
534499,782,782,7
534509,782,782,7
534520,781,782,7
534530,785,782,7
534540,779,782,7
534550,782,782,7
534560,785,782,7
534571,780,782,7
534581,784,782,7
534591,780,782,7
534601,783,782,7
534611,786,782,7
534621,778,782,7
534632,784,782,7
534642,782,782,7
534652,783,782,7
534662,782,782,7
534672,778,782,7
534682,785,782,7
534693,785,782,7
534703,781,782,7
534713,784,782,7
534723,780,782,7
534733,784,782,7
534744,784,782,7
534754,779,782,7
534764,784,782,7
OSM
534785,456,450,4
534795,451,450,4
534805,449,450,4
534815,452,450,4
534825,450,450,4
534836,449,450,4
534846,452,450,4
534856,449,450,4
534866,450,450,4
534876,450,450,4
534887,450,450,4
534897,459,450,5
534907,448,450,5
534917,450,450,5
534927,452,450,5
534937,448,450,5
534948,450,450,5
534958,449,450,5
534968,450,450,4
534978,451,450,4
534988,447,450,4
534998,450,450,4
535009,455,450,5
535019,450,450,5
535029,450,450,5
535039,448,450,5
535049,452,450,5
535060,452,450,5
535070,448,450,5
535080,451,450,5
535090,450,450,4
535100,451,450,4
535110,448,450,4
535121,449,450,5
535131,451,450,5
535141,450,450,5
535151,449,450,5
535161,450,450,4
535171,449,450,4
535182,452,450,5
535192,450,450,4
535202,450,450,4
535212,451,450,4
535222,452,450,4
535233,451,450,5
535243,455,450,5
535253,448,450,4
535263,453,450,4
535273,449,450,4
535283,448,450,4
535294,450,450,4
535304,451,450,4
535314,451,450,4
535324,449,450,4
535334,449,450,4
535345,450,450,4
535355,449,450,4
535365,451,450,4
535375,449,450,4
535385,449,450,4
SIM
535406,838,825,7
535416,830,825,7
535426,828,825,7
535436,824,825,7
535446,827,825,7
535456,824,825,7
535467,829,826,6
535477,827,825,7
535487,824,826,6
535497,828,826,6
535507,824,826,6
535518,827,826,6
535528,828,826,6
535538,823,826,6
535548,828,826,6
535558,827,826,6
535568,827,826,6
535579,826,826,6
535589,823,826,6
535599,828,826,6
535609,827,826,6
535619,825,826,6
535629,828,826,6
535640,823,826,6
535650,828,826,6
535660,827,826,6
535670,822,826,6
535680,827,826,6
535691,823,826,6
535701,827,826,6
535711,828,826,6
535721,822,826,6
535731,827,826,6
535741,825,826,6
535752,826,826,6
535762,827,826,6
535772,823,826,6
535782,830,826,6
535792,827,826,6
535803,824,826,6
535813,828,826,6
535823,823,826,6
535833,828,826,6
535843,828,826,6
535853,824,826,6
535864,827,826,6
535874,825,826,6
535884,827,826,6
535894,828,826,6
535904,822,826,6
535915,828,826,6
535925,825,826,6
535935,827,826,6
535945,828,826,6
535955,822,826,7
535965,828,826,7
535976,825,826,6
535986,825,826,6
535996,828,826,6
536006,822,826,7
RIM
536026,792,782,7
536037,781,782,7
536047,788,782,8
536057,782,782,7
536067,782,782,7
536077,784,782,7
536087,781,782,7
536098,785,782,7
536108,780,782,7
536118,782,782,7
536128,786,782,7
536138,780,782,7
536149,782,782,7
536159,781,782,7
536169,783,782,7
536179,786,782,7
536189,778,782,7
536199,783,782,7
536210,784,782,7
536220,781,782,7
536230,784,782,7
536240,779,782,7
536250,786,782,7
536260,785,782,7
536271,780,782,7
536281,783,782,7
536291,780,782,7
536301,785,782,7
536311,785,782,7
536322,778,782,7
536332,785,782,7
536342,784,782,7
536352,782,782,7
536362,785,782,7
536372,780,782,7
536383,786,782,7
536393,783,782,7
536403,779,782,7
536413,785,782,8
536423,782,782,7
536434,783,782,7
536444,783,782,7
536454,778,782,7
536464,786,782,8
536474,782,782,7
536484,782,782,7
536495,784,782,7
536505,781,782,7
536515,785,782,7
536525,780,782,7
536535,782,782,7
536545,785,782,7
536556,781,782,7
536566,783,782,7
536576,782,782,7
536586,782,782,7
536596,786,782,7
536607,779,782,7
536617,782,782,7
536627,786,782,7
OSM
536648,456,450,4
536658,450,450,4
536668,450,450,4
536678,451,450,4
536688,447,450,4
536699,450,450,4
536709,458,450,5
536719,449,450,5
536729,454,450,5
536739,448,450,5
536750,451,450,5
536760,451,450,4
536770,447,450,4
