12165923,1246,1254,4,19
12165933,1257,1254,4,19
12165943,1254,1254,4,19
12165953,1256,1254,4,19
12165964,1257,1254,4,19
12165974,1252,1254,4,19
12165984,1254,1254,4,19
12165994,1252,1254,4,19
12166004,1253,1254,4,19
12166014,1257,1254,4,19
12166025,1256,1254,4,19
12166035,1259,1254,5,19
12166045,1256,1254,5,19
12166055,1254,1254,5,19
12166065,1257,1254,5,19
12166076,1252,1254,5,19
12166086,1254,1254,5,19
12166096,1255,1254,5,19
12166106,1252,1254,5,19
12166116,1259,1254,5,19
12166127,1255,1254,5,19
12166137,1255,1254,5,19
12166147,1257,1254,5,19
12166157,1251,1254,5,19
12166167,1255,1254,5,19
12166177,1253,1254,5,19
12166188,1254,1254,5,19
12166198,1258,1254,5,19
12166208,1254,1254,5,19
12166218,1256,1254,5,19
12166228,1255,1254,5,19
12166239,1252,1254,5,19
12166249,1256,1254,5,19
12166259,1254,1254,5,19
12166269,1255,1254,5,19
12166279,1258,1254,5,19
12166290,1255,1254,5,19
12166300,1258,1254,5,19
12166310,1253,1254,5,19
12166320,1254,1254,5,19
12166330,1255,1254,5,19
12166341,1252,1254,5,19
12166351,1257,1254,5,19
12166361,1256,1254,5,19
12166371,1257,1254,5,19
12166381,1258,1254,5,19
12166391,1251,1254,5,19
12166402,1255,1254,5,19
12166412,1253,1254,5,19
12166422,1254,1254,5,19
12166432,1255,1254,5,19
12166442,1254,1254,5,19
12166453,1257,1254,5,19
12166463,1258,1254,6,19
12166473,1254,1254,5,19
12166483,1258,1254,6,19
12166493,1253,1254,6,19
12166504,1252,1254,6,19
12166514,1255,1254,6,19
12166524,1251,1254,6,19
12167788,1247,1254,6,19
12167798,1255,1254,5,19
12167808,1253,1254,5,19
12167818,1258,1254,6,19
12167829,1255,1254,5,19
12167839,1253,1254,5,19
12167849,1257,1254,6,19
12167859,1251,1254,6,19
12167869,1255,1254,6,19
12167879,1257,1254,6,19
12167890,1251,1254,6,19
12167900,1255,1254,5,19
12167910,1253,1254,5,19
12167920,1253,1254,5,19
12167930,1256,1254,5,19
12167941,1254,1254,5,19
12167951,1258,1254,5,19
12167961,1255,1254,5,19
12167971,1255,1254,5,19
12167981,1256,1254,5,19
12167992,1251,1254,5,19
12168002,1255,1254,5,19
12168012,1255,1254,5,19
12168022,1254,1254,5,19
12168032,1258,1254,5,19
12168043,1254,1254,5,19
12168053,1256,1254,5,19
12168063,1255,1254,5,19
12168073,1252,1254,5,19
12168083,1256,1254,5,19
12168093,1254,1254,5,19
12168104,1256,1254,5,19
12168114,1258,1254,5,19
12168124,1253,1254,5,19
12168134,1259,1254,6,19
12168144,1256,1254,5,19
12168155,1253,1254,5,19
12168165,1255,1254,5,19
